timestamp,speaker,words,tags,highlight,timelink
,RA,"Well, I wouldn't say it's off limits, but I don't usually revise them, but I have. I mean it has happened that I've suddenly seen how something could be better and, you know, gone away from it, gone back to it and went, ""Oh that could be better.""",revision;mss,,
,,"But I would say that's, you know, maybe one time in twenty.",,,
,DB,So they're more rare.,,,
[36:58],RA,Yeah.,,,1985
,DB,And when did you start using the thesis binders?,early;paper;mss,,
,RA,"Long time ago&#8212;maybe twenty, twenty-five years ago. They used to be easy to find, but now, like I said, they're antique&#8212;old school.",early;paper;mss,,
,DB,"Yeah, and before, when you were first putting your first collections together, how did that work? How was that looking?",early;paper;mss,,
,RA,"I might have had one even then. Because everyone used to. This is what used to happen. People&#8212;everyone used to bring these to a reading and just read from them. I don't even do that anymore because they're too heavy to carry. I just print them out. But that's what people used to do, so, everyone had one.",early;paper;mss,,
,DB,OK.,,,
,,So we've talked about how the other people&#8212;,,,
,,"Is there any other role that other people play in the process of your revisions? Are there any other people that are important to those, to the kind of finding the finish pieces?",,,
,RA,"Well, I think not really except sometimes my editor gives me a little bit of guidance&#8212;not about individual poems but about the order of poems within the manuscript. I usually think I know, but sometimes she has a different idea that she runs by me and we consider that.",,,
,DB,OK.,,,
,,"And then, sort of moving on to the organizational&#8212; what I call organizational/archival&#8212;and we've kind of covered some of this, but when you were first&#8212;so in the early days before the computers, when you kind of hit that, what would you say a final piece is? You'd send it out, would you also keep a printed page?",,,
,RA,"Oh, sure.",,,
,DB,OK.,,,
,,And that would be in&#8212;,,,
,RA,In thesis binders.,,,
,DB,&#8212;and how would you communicate with your publisher with those?,,,
,RA,"I suppose we had to communicate by snail mail, how else was there?",,,
[38:38],DB,"Right, and so you would collect those all&#8212;would you make a copy of it before you send it off?",,,2085
,RA,"Oh, yeah. I probably Xeroxed it. I mean, there were Xerox machines.",,,
,DB,"Yeah, OK.",,,
,,"And once things were published, and things, did you start to kind of keep an archive&#8212;and archive of your work at that point? I mean, did you have boxes with your papers in it even at the beginning, or did that start to come more gradually?",,,
,RA,"That came more gradually. I mean, I wish that I had kept my letters right from the beginning, because I had letters from George Oppen (39:10) and I had letter from Robert Creeley (39:12). It really took me awhile to realize that this was going to be worth anything.",future,,
,DB,Yeah.,future,,
,RA,"It took seeing some of my friend&#8212;the way some of my friends took it seriously, like Lyn Hejinian (39:27), and organized things, and treated it as if it was all worthwhile.",future,,
,DB,Yeah.,future,,
,RA,"But I didn't, you know, I didn't come from an intellectual family or background, and so it wasn't natural really for me, and I had to learn it.",future,,
[40:00],DB,"I'm interested in that, and like how did&#8212;so, the lessons were just from watching them do that, or were they from the conversations? I mean, did you just sort of notice that Lyn Hejinian (40:00) sort of had, like, kept things better?",future;highlight,,2167
,RA,"Well, I think at some point she sold her papers and I went, ""Oh, people sell their papers and they get money."" And also I would notice that she wrote letters as if she was writing for an archive. I mean, she would kind of give you the back story that you already knew, and I'm going, ""What? Who is she talking to?"" The archive!",future;highlight,,
,DB,"I never thought of that as being one of the correspondents, but that's a good point.",future;highlight,,
,,"Yeah, and so, I guess&#8212;",future;highlight,,
,RA,"I still don't do that. But I think email has pretty much ended that for most people. Now, people just shoot off emails and so I don't know what's happening to archives.",future;highlight,,
,DB,"Yeah, I know, right? I mean, is there any way you try to save your emails? Are there any that you&#8212;?",future;highlight,,
,RA,"I have saved emails, and even printed them out and given them to libraries, but I just&#8212;I think Ron saves everything. So, everything I send to him gets saved. That's how I look at it. He's my archivist.",future;highlight,,
,,"I mean, I only&#8212;you know, there's only so much space in my house.",future;highlight,,
,DB,"Oh, yeah.",future;highlight,,
,RA,"I know you can save things on your hard drive and give your hard drive to a library, but God knows what's on my hard drive. So, so far I've just&#8212;what I do now is, if there's anything that seems especially interesting or valuable, I'll print it out and keep it.",future;highlight,,
,DB,"And did you&#8212;like when you first started writing the emails back and forth, and kind of like general correspondence, what was the sort of tenor of those? Did it still feel more like a letter? I mean, did you notice a gradual change?",,,
,RA,"Yeah. I mean, sure, letters were letters and&#8212;I should go look up my old letters. I could go to an archive and look at them.",,,
,,"Yeah, I think you would talk about various things&#8212;how your life was going and then you would say, ""And by the way I wrote this"" include it&#8212;but you would be catching up. Sure, now we catch up all the time, you know.",,,
,DB,"Right, so, kind of constantly. Are you on any social media things?",,,
,RA,I'm on Facebook.,,,
,DB,You do Facebook.,,,
,RA,"And I'm also on Twitter, but I don't tweet much.",,,
,DB,Just follow whatever's going on?,,,
,RA,"A few things, yeah.",,,
,DB,A little bit?,,,
,RA,"Yeah, but sure, I'm on Facebook and that's how I get some of my news.",,,
,DB,"Yeah, yeah.",,,
,,"Do you remember your first email? Or any of that sort of thing? Sort of nostalgic, but&#8212;?",,,
,RA,"I don't remember my first email. I remember that Ron said that I had ""ramped up quickly."" That was flattering, so I remember it.",,,
[42:31],DB,Were you first given an email because of your work&#8212;because of UCSD? Was that your first?,,,2318
,RA,"No, I got it on my own and when my son was still living here, and he helped me set everything up. I mean, you know, he was probably fourteen or something. So that's why I have a really stupid&#8212;I mean, my university address&#8212;I guess you wrote me at my university address? Or did you write me&#8212;?",,,
,DB,"Yeah, I think both. You gave me the other one because you were traveling.",,,
,RA,"Which is really stupid because it's ""RAEA100900."" I shouldn't say that anything my son said was stupid, but he was only about fourteen and I guess he thought that was&#8212;I feel like I'm James Bond or something with that email address, but whatever.",,,
,DB,Let me see here&#8212;,,,
,,"So, I mean, it seems to me like, in sort of talking about the progression, that the main difference&#8212;the main change&#8212;has really just been the kind of speed with which email allows you to kind of get to a point where you think things are solid enough for a collection.",change;highlight,,
,RA:,Yeah,change;highlight,,
,DB,"Is there anything else you can think of that really changed as technology changed, or do you feel like for the most part&#8212;not that the type writer and computer are the same&#8212;but that the relationship between the notebook and those sort of typing procedures were similar?",change;highlight,,
,RA,"Well, I was never a great typist, so I was always making mistakes. So, it was always frustrating. Of course sometimes I hate my computer, too. I mean, it's not a question of the typing issue, but just&#8212;you know, we all hate our computers.",change;highlight,,
,DB:, Yeah.,,,
,RA,"They're slow. Whatever. Sometimes I'm yelling at my computer, ""What did you just do?"" You know, it'll lose a document and I'll go, ""What? I did what? It's gone!"" You know?",,,
,DB,Yeah.,,,
,RA,"So, I have kind of an adversarial relationship with it, but I use it all the time.",,,
,DB,"And if you lost something, then you would go back&#8212;what would be your first move?",,,
,RA,"Well, supposedly you can hit&#8212;I think it's CTRL-X&#8212;and get it back, but that doesn't work very well for me.",,,
,DB,Would you go back to an email? I mean like if you&#8212;?,,,
,RA,"Well, if I sent an email, sure.",,,
,DB,"What does the revision, if it's just you on your upstairs computer, what does that revision look like? I mean, are you moving things around a lot or are you&#8212;is it more just sort of reading and then deleting and inserting new words?",revision,,
,RA,"Yeah, that would be it.",revision,,
,DB,Mostly. Do you read them out loud to yourself?,revision,,
[45:00],RA,"Yeah, always.",revision,,2467
,DB,OK.,revision,,
,,When do you start doing that?,revision,,
,RA,In the notebook.,revision,,
,DB,"In the notebook. And so&#8212;well, can you talk a little bit more about how that works? I mean, is it something that as you're writing the first line, you're reading out loud, or is it like you finish something?",revision,,
,RA,"I probably&#8212;well, in between&#8212;not the first line, but I'd probably have to have a few lines before I thought it was worth reading them out loud.",revision,,
,,Let's see...,,,
,,"I should get to something bad that changed a lot, but then that would be embarrassing.",,,
,DB,"We're only being recorded by like four devices, so&#8212;",,,
,RA,"Yeah, right.",,,
,,I don't know what to do here because the things that I start out writing change so much.,,,
,,Let's see.,,,
[46:00],,"I can get to a poem that's finished, and I can read a little bit from my journal that were the beginning of it, I guess.",,,2527
,DB,"OK, yeah, that'd be great.",,,
,RA,"OK, although the beginning is going to be very bad&#8212;",,,
,DB,Give the rest of us hope!,,,
,RA,&#8212;you can stand that. OK.,,,
,,"So, this is in two parts, and I think this part is working on&#8212;first of all, it's very hard to read my hand writing, even for me to read it when I'm looking back at something I wrote a while ago now.",,,
,,That's bad.,,,
,,"OK, there is&#8212;is it okay if I read the poem, or is that a waste of time?",,,
,DB,No! Absolutely.,,,
,RA,"OK, so, this is called ""Particular:""",highlight;prompt;revision,,
,,"Rough, squat, bent, crabbed, cranky. A cranky person who is over enthusiastic about a particular topic. To be particular is to be choosy. A particle is a body whose extent and internal structure, if any, are irrelevant. You there, let's dispense with these properties of matter such anachronistic clothes as ghosts wear. Let's be mirrors, facing mirrors. Fall in love.",highlight;prompt;revision,,
,,"OK, so, here's some build up to that, which really doesn't sound like a poem at all. OK, this is embarrassing but:",highlight;prompt;revision,,
,,"To love, you show yourself willing to erase yourself. Make yourself blank together for a few moments&#8212;see, this is just prose&#8212;""in order to reflect the other."" That ended up being, ""Let's be mirrors facing mirrors. Fall in love.""",highlight;prompt;revision,,
,,"Two cloudless skies, no earth between. The young do it best, now everyone has lost the trick of it. For love, they emptied&#8212;",highlight;prompt;revision,,
,,&#8212;and then I guess I'm rewriting:,highlight;prompt;revision,,
,,"For love, they emptied themselves. Mirrors reflecting mirrors.",highlight;prompt;revision,,
,,"So, that gets a bit of that.",highlight;prompt;revision,,
,,"The young, two cloudless skies, nothing between. Not like us, condensed into these peculiar shapes. For love they emptied themselves&#8212;",highlight;prompt;revision,,
,,&#8212;and this is starting over again:,highlight;prompt;revision,,
,,"&#8212;""until they're mirrors reflecting mirrors. The young unlike us, who have assumed these peculiar shapes, they forget everything until they're mirrors reflecting mirrors, the young open channels""&#8212;",highlight;prompt;revision,,
,,&#8212;I took that out eventually,highlight;prompt;revision,,
,,"&#8212;""through which charges flow, not us. They forget everything until they're mirrors reflecting mirrors, they fall in love. The trick young can do, unlike us with our definite opinions and habits, these properties and mass change, spin""&#8212;",highlight;prompt;revision,,
,,"&#8212;so that gets to where I was talking about a particle is a body. So that's like subatomic, right?",highlight;prompt;revision,,
,,"&#8212;""its extended internal structure, if any are irrelevant, let's dispense with these properties of matter.""",highlight;prompt;revision,,
,,"So anyway, here I'm starting to get in to that. ""These properties and mass charge spin are like the clothes that ghosts wear."" Well, that gets in to here, except there's no simile. It just goes:",highlight;prompt;revision,,
,,Let's dispense with these properties of matter. Such anachronistic clothes as ghosts wear. Let's be mirrors facing mirrors.,highlight;prompt;revision,,
[49:28],,You can see how some of that worked into that.,highlight;prompt;revision,,2735
,DB,"Yeah, absolutely! And then&#8212;so, it kind of moves, not quite chronologically, but sequentially, and it's not even a winnowing; it's an addition and subtraction, and addition&#8212;",highlight;prompt;revision,,
,RA,Now this is stuff not even Ron Silliman sees because I wouldn't send anything that inchoate to anyone.,highlight;prompt;revision,,
,DB,OK.,highlight;prompt;revision,,
,RA,"So, now, you're seeing something, you're hearing something, that nobody has&#8212;",highlight;prompt;revision,,
,DB,"Yeah. No, it's fascinating. And then so, at a certain point when you move to that, does that sort of stop in the journal, in the notebook?",highlight;prompt;revision,,
[50:00],RA,Yeah.,highlight;prompt;revision,,2767
,DB,"I mean, in the next poem?",highlight;prompt;revision,,
,RA,"Once I move to this, then I seldom go back to the notebook.",highlight;prompt;revision,,
,DB,"OK. But then the next page, then, would be the next poem that you work on, essentially?",highlight;prompt;revision,,
,RA,"Yeah, unless I decide that, say, the last part of this is bad and then I might start over in the notebook.",highlight;prompt;revision,,
,DB,"And so the type of revision, then, that happens on the iPad&#8212;? I mean, it's not as easy to kind of move things around there. What usually occurs?",highlight;prompt;revision,,
,RA,"Fortunately for me my poems don't have a lot of words and they have short lines, so I just back things out and start over. I just do that.",highlight;prompt;revision,,
,DB,OK.,,,
,,"Is there any sort of formatting that you use, either here or on your PC, that you kind of developed? Like do you have a certain font that you use or anything like that, or is that not really a concern of yours?",,,
,RA,That's not really a concern.,,,
,DB,OK.,,,
,RA,"I mean, I wouldn't want to hate a font but I'm okay with the standard font.",,,
,DB,"Yeah. And then I guess I'm wondering, then, before there were&#8212;before you had the iPad&#8212;you would just take the notebook up to your computer and write it down there?",,,
,RA,Yeah.,,,
,DB,That would be the thing?,,,
,RA,"Sure, of course.",,,
,DB,"So, it's almost like an ease of place, almost.",,,
,RA,Yeah.,,,
,DB,More than anything else.,,,
[51:24],RA,"Absolutely, because I'm just comfortable in this room and I would just stay there with my coffee playing around here for quite a while. So, I think that's just, you know, habit.",,,2851
,DB,"Yeah, yeah.",,,
,,"Do you use the&#8212;when you're connected up there, is the internet always connected as well? Are you always connected to the internet?",,,
,RA,Yeah.,,,
,DB,"Are you doing any, are you using it for research purposes or reference purposes when you're up there?",,,
,RA,"Yeah, I mean in terms of my teaching&#8212;",,,
,DB,OK.,,,
,RA,"&#8212;because I'm preparing to teach this class I've never taught before, and I'm going to be teaching it with a guy, with a physicist, where it's called Poetry for Physicists&#8212;",,,
,DB,That's great!,,,
,RA,"&#8212;and he's been getting a lot press lately. I don't know if you've seen it. Bryan Keating (52:01), he was involved with the discovery at the South Pole?",,,
,DB,"Yeah, yeah, absolutely!",,,
,RA,"Yeah, yeah.",,,
,DB,"Oh, wow!",,,
,RA,And he's interested in poetry!,,,
,,"So anyway, I'm doing research for that, and I was just&#8212;I'm using some ancient poets like Lucretius, who wrote about science, you know. I mean, he wrote&#8212;the ancient Greeks like Lucretius knew about&#8212;or, not knew but hypothesized the existence of atoms and the void. So, I was just doing some research about him on the computer and then printing them out.",,,
,,"Yeah, so, sure.",,,
,DB,"Yeah, I know. When I was reading your work and read about those kinds of things&#8212;discovery or confirmation of the Inflation Theory, I was like, ""I would really like to see a poem by Rae Armantrout about this.""",,,
,RA,"Well, turns out he's my bud!",,,
,DB,"Yeah, that's awesome! Yeah, that's a good&#8212;and how long have you been in conversation with him?",,,
,RA,"I dedicated a poem to him in this book. So, I've been in conversation with him for, I don't know, maybe three years? So the poem called ""Accounts"" is based on a conversation that we had.",,,
,DB,And what are his books?,,,
,RA,"Here it is. See? ""For Bryan Keating."" (53:18)",,,
,DB,"Oh, cool! OK.",,,
,RA,"I don't think scientists&#8212;I mean, he's an astrophysicist. They don't write books.",,,
,DB,"You mentioned somebody that&#8212;there was some, like, more popular science writer that you were reading&#8212;?",,,
,RA,"You know I read Brian Greene, different Brian&#8212;",,,
,DB,"Yeah, I was getting confused because of the Brian's.",,,
,,And how long has that been a sort of subject of fascination for you?,,,
,RA,"I think&#8212;the first time I did anything with particle physics was really when it first became popularized, like when The Tao of Physics came out in the 80's. And at first I thought it was just kind of absurd, all the particles, and I thought it was just like, ""How many angels can stamd on the head of a pin?"" or whatever. But I was still reading it and sort of interested in it, and then I guess starting with my book Up To Speed in 2004, I've taken a more sustained interest in it.",,,
,DB,What's this class going to look like overall? Do you have like a shape to it?,,,
,RA,"Yeah. I mean, I've never team-taught before, but some days I'll be talking&#8212;I've chosen poems that either have something to do with cosmology or physics in some way, or that have to do with objectivity and subjectivity and theories of mind. Or then, in a different way, going off of kind of Chaos Theory where complexity can be&#8212;can grow from the iteration of simple rules. I'm using some poets like,",,,
[55:00],,"well, like Ron Silliman, and like Jackson Macklow (55:01), and like Christian Bök, that (Indiscernible, 55:05) poet who use constraints, or rules, to generate poems and have math in their poems, you know, not as a subject but as a generative principle.",,,3067
,DB,Right.,,,
,RA,So I'm doing some of that.,,,
,,"And Brian is, you know, he likes poetry but he's not exactly up to the avant-garde, shall we say? He likes sonnets and such, so we have a bit of that.",,,
,DB,"OK, and will it be a class in which you ask the students to write, or is it more&#8212;?",,,
,RA,It's not really a writing class.,,,
,DB,&#8212;survey?,,,
,RA,"I mean, they're going to write one poem and they're going to write a couple of essays and there's going to be a couple of tests, and it's mostly a reading and discussion course.",,,
,DB,"OK, and its next fall?",,,
,RA,"No, it's in the spring. It starts in a week.",,,
,DB,"Oh, right!",,,
,RA,It starts next Tuesday.,,,
,DB,You guys are quarters.,,,
,RA,Yeah.,,,
,DB,OK.,,,
,,"So, let me see here.",,,
,,"We're fairly well along, almost done actually.",,,
,,"Are there any other&#8212;I mean, these are kind of&#8212;I don't know how far you want to get in to this, but in terms of teaching, when did that sort of email and computer start to kind of take over that? I mean, sort of like the 2000's, early 2000's?",,,
,RA,"Email? I think that was in the 90's, wasn't it?",,,
,DB,"Yeah, yeah.",,,
,,And has that&#8212;do you feel like that's changed how you approach students and how you approach your classes?,,,
,RA,"Well, yeah. Now your students can always find you. It certainly made it easier to write a syllabus having a computer&#8212;",,,
,DB,Yeah,,,
,RA,"&#8212;and, you know, you can constantly email your students and remind them of what they're supposed to be doing. I think its just made things easier for everyone.",,,
,DB,"Do you see any sort of differences in understanding of your students now as to your students like, say, fifteen or twenty years ago?",,,
,RA,"Well, I think that, you know, certainly students do gradually change. I think that when you teach young people, you kind of, sort of stay in that world. You hear their expressions&#8212;I'm not saying I'm a digital native by a long shot&#8212;but you know, you sort of hear the way they talk and you get a bit of their mind set, and you know, you know their lingo. In a way that, I think, when I retire, I might miss that.",,,
,DB,"Yeah, yeah.",,,
,RA,"But still, if something goes wrong with my computer I have to get my son to help me.",,,
,DB,"So, that's actually&#8212;I've found that this has been kind of a theme. Do you have somebody who comes in and helps you if you have any computer problems?",,,
,RA,"Yeah, he lives in Seattle, but he's walked me through things on the phone.",,,
,DB,OK.,,,
,,And has he set up&#8212;did he set up your computer when you first got it and stuff like that?,,,
,RA,Yeah.,,,
,DB,OK.,,,
,RA,"And he was 14. He's built a computer, even.",,,
,DB,"Oh, is he working&#8212;if he's in Seattle, is he working in the computer industry?",,,
,RA,"No, he's a scientist but he's not in the computer industry. He's a biologist.",,,
,DB,"Oh, OK.",,,
,,"So, I'm fairly well through. We've covered pretty much what I liked to cover. I do have my blunt questions at the end. So, is there any sort of overarching thing that you think has changed with the advent of computers in terms of writing? I mean, do you see a sort of maybe change in tone, a change in tenor, a change in ideas that have been&#8212;?",change,,
,RA,"Well, yeah. I mean, the fact that I've just recently wrote a poem that references Mileage.com&#8212;",change,,
,DB,Right.,,,
,RA,"&#8212;and if I could bring up that section of it for you, anyway, because it's certainly something that would not have been written had there not been computers. It goes: ""Protect your identities says mileage.com, three times today as if it knew something. I may want to fly cheap, cruise in luxury, buy a walk-in tub, and burial insurance.""",,,
,,"Yeah, they try to sell you things.",,,
,,"So yeah, I mean, I think that that gets into the content of the work, and then there are groups of poets who work in that realm kind of specifically and almost exclusively&#8212;like the Flarf poets, for instance, just do what they call ""Google mining.""",,,
,DB,"Yeah, and what's&#8212;what do you&#8212;",,,
,RA,"And also of course, there are digital poets. There's digital poetry where people write poems especially for the computer, where the&#8212;I don't know, the words fall off the screen at different rates, and such.",,,
,DB,"Yeah, do you do&#8212;if you were willing to be reading poems for whatever reason, do you find that you're reading them a lot more on your screen than you used to?",,,
[1:00:00],RA,"I don't like to read on the screen. I mean, I do read things on the screen, but if I'm judging a contest or something, which I sometimes do, I ask for hard copies. Or if I get them on the screen, I print them because I just don't like to read on the screen. I mean, I don't want to sit up there on a hard chair. I don't want to look at that light&#8212;",printdig,,3367
,DB,Right.,,,
,RA,You know?,,,
,DB,"No, I think that's pretty typical.",,,
,,"OK, I think that's good, Rae.",,,
,,Thank you very much.,,,
,RA,"Alright, this was painless.",,,
,DB,Yeah! Alright.,,,
,,Just at an hour.,,,
,RA,Good.,,,
,DB,Good.,,,
