title,creator,description,date,subject-lcsh,subject,relation,contributing institution,publisher digital,digital collection website,source,identifier,publisher,format original,type,format,digitization specifications,rights,rightsstatement,language,date digital,coverage,latitude,longitude,full text,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Corrections from Colonel Symbol,"Symbol, Paul",Colonel symbol make some corrections on the size and cost of the Bruce's Eddy Project,1960-11-19,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);","Symbol, Paul; Bruces Eddy;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-036,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/400,400,401.cpd,/dworshak/supp/400/index.pdf,dworshak400
Release to P.M.'s,United States. Army. Corps of Engineers,Information on Brigadier General Roy S. Kelly,1968-11-25,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Corps of Engineers (U.S.);","Corps of Engineers; Kelley, Roy S.",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-039,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/403,403,404.cpd,/dworshak/supp/403/index.pdf,dworshak403
Flood Control Projects,United States. Congress. House,A listing of flood control projects throughout the United States,1962-09-19,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; House of Representatives (U.S.); Flood control--United States; Corps of Engineers (U.S.);",Flood control; House of Representatives;,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-037,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/409,409,410.cpd,/dworshak/supp/409/index.pdf,dworshak409
Random Observations,"Curtis, Albert B. (Albert Bruce), 1903-1985","Notes on various aspects of the Bruce's Eddy Project [?]; including, notes on the reservoir, power capacity, and flood control",1963-11-21,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",Bruces Eddy;,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-038,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/415,415,416.cpd,/dworshak/supp/415/index.pdf,dworshak415
New Deputy Director of Civil Works,"Tyson, Max and Department of the Army","Tyson sends a note to Curtis, informing him of the appointment of Colonel Richard H. Groves",1969-01-16,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Corps of Engineers (U.S.); Dworshak Dam (Idaho); Groves, Richard H., 1923-;","Curtis, Bert; Dworshak; Tyson, Max; Cros of Engineers; Groves, Richard H.;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-040,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/419,419,420.cpd,/dworshak/supp/419/index.pdf,dworshak419
Notes on Dworshak Dam,"Curtis, Albert B. (Albert Bruce), 1903-1985",Notes for a speech on Dworshak Dam. Includes a variety of statistics pertaining to the project.,1964-11-10,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);","Curtis, Bert; Dworshak dam;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-035,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/431,431,432.cpd,/dworshak/supp/431/index.pdf,dworshak431
Resolution concerning the Dworshak Pool,"Gillette, Jack E.",Gillette sends Curtis a copy of a resolution outlining the federal governments taking of land surrounding the Dworshak pool,1969-09-12,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Idaho. State Board of Land Commissioners; Dworshak Dam (Idaho); Orofino (Idaho);","Curtis, Bert; Gillette, Jack E.; Idaho State Board of Land Commissioners;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-042,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/434,434,435.cpd,/dworshak/supp/434/index.pdf,dworshak434
Memo for files,"Koppang, M.O.","Information from John Batt, Real Estate Division of Army Engineers.",1969-09-16,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Corps of Engineers (U.S.);","Corps of Engineers; Koppang, M.O.; Wildlife Acquisition;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-043,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/436,436,437.cpd,/dworshak/supp/436/index.pdf,dworshak436
How dare you flood my birthplace!,"Verge, Ruby","Verge informs Curtis [?] of a note on the Dworshak [?] register from a man from Dent, Idaho",1970-08-04,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho); Dent (Idaho);","Dworshak Dam; Dent; Verge, Ruby; Curtis, Bert",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-044,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/438,438,439.cpd,/dworshak/supp/438/index.pdf,dworshak438
Notice of public hearing,"Giesen, Robert J.","Geisen sends an open invitation for a public hearing on the development and management of Dworshak dam, to be held in Orofino. Included, is information on the development of the dam, future uses, public access, and wildlife habitat",1969-04-14,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Corps of Engineers (U.S.); Dworshak Dam (Idaho); Orofino (Idaho);","Dworshak Dam; Giesen, Robert; Wildlife habitat; Corps of Engineers; Orofino;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-041,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/448,448,449.cpd,/dworshak/supp/448/index.pdf,dworshak448
Maps of Dworshak,United States. Army. Corps of Engineers,Maps outlining the use of lands surrounding Dworshak Dam and the reservoir,1970-11-20,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho); Corps of Engineers (U.S.); Clearwater River (Idaho);",Dworshak Dam; Clearwater River; Corps of Engineers;,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-046,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/452,452,453.cpd,/dworshak/supp/452/index.pdf,dworshak452
Things to do today,"Curtis, Albert B. (Albert Bruce), 1903-1985",Curtis [?] writes a joke on a calendar,1965-06-02,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",Joke; Calendar;,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-048,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/454,454,455.cpd,/dworshak/supp/454/index.pdf,dworshak454
Dworshak Dam and Reservoir,,Information on Dworshak Dam and Reservoir,1970-11-21,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);",Dworshak Dam,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-047,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/459,459,460.cpd,/dworshak/supp/459/index.pdf,dworshak459
Public meeting on lower Clearwater River,"Matthias, Harld L.; United States. Army. Corps of Engineers",Information on a study conducted to investigate the further development of the Clearwater River between Lewiston and Ahsahka.,1970-11-19,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho); Corps of Engineers (U.S.); Clearwater River (Idaho);","Dworshak Dam; Clearwater River; Corps of Engineers; Connel, Richard M.;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-045,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/468,468,469.cpd,/dworshak/supp/468/index.pdf,dworshak468
Notes for a speech,"Curtis, Albert B. (Albert Bruce), 1903-1985",Notes Curtis [?] wrote for a speech,1965-06-03,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-049,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/473,473,474.cpd,/dworshak/supp/473/index.pdf,dworshak473
Radio transcript,"Thomas, Don","A scathing indictment of the Dworshak Dam, broadcast over the radio",1971-09-28,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);Clearwater River (Idaho);","Thomas, Don; Dworshak Dam; Criticism;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-051,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/476,476,477.cpd,/dworshak/supp/476/index.pdf,dworshak476
Radio transcript,"Thomas, Don","Thomas objects to the Corps of Engineers proposal to build Dykes around Lewiston, Idaho.",1971-09-28,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);Clearwater River (Idaho); Lewiston (Idaho);",,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-052,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/479,479,480.cpd,/dworshak/supp/479/index.pdf,dworshak479
Bruce's Eddy statistics,,Statistics on Bruce's Eddy dam and reservoir,1968-07-01,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);",Bruces Eddy;,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-054,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/481,481,482.cpd,/dworshak/supp/481/index.pdf,dworshak481
Clearwater dam boosters,United States. Congress. House. Committee on Public Works and Transportation. Subcommittee on Water Resources,The Water Resources Committee of Orofino calls for members to send information that supports the construction of Bruce's Eddy to Washington DC,1968-07-02,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);","Bruces Eddy; Orofino, Idaho; Clearwater Resources Committee;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-055,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/483,483,484.cpd,/dworshak/supp/483/index.pdf,dworshak483
Speech given to the US Senate,"Curtis, Albert B. (Albert Bruce), 1903-1985",Curtis delivers a speech to the Senate in support of the Bruce's Eddy Project,1965-07-01,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho); United States. Senate;","Curtis, Bert; Bruces Eddy; Orofino; US Senate",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-053,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/489,489,490.cpd,/dworshak/supp/489/index.pdf,dworshak489
Ownership information,,Statistics on the ownership of land surrounding the Bruce's Eddy Pool,1965-06-04,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);",Dworshak Reservior; Ownership;,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-050,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/501,501,502.cpd,/dworshak/supp/501/index.pdf,dworshak501
Factsheet,Dravo Corporation,Quick facts pertaining to Dworshak Dam,1968-07-03,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);",Dravo Corporation; Dworshak Dam;,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7b-056,,,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/508,508,509.cpd,/dworshak/supp/508/index.pdf,dworshak508
Dworshak Dam Project 23 (Ahsahke),,"A nice view of Ahsahka & the forks of the river. Note on back: """" Note the work by Murphy Bros. of  Spokane has just started in the construction of the access road up to dam site. See the clearing on the left. Ahsahka mill, lower, and Orofino in the distance, upstream on upper right. Canoe camp is marked by wax pencil. This is where Lewis and Clark stopped in 1805 and changed their horses for canoes to continue their trip to the mouth of the Columbia. This is now a part of the Nez perce Historical Park. Bet they never thought of a dam when they were there.  (A. B. Curtis)""""",1966,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);",Dworshak Dam Project; Ahsahka mill; forks; river; Murphy Bros.; construction; access road; clearing; Orofino; Canoe camp; Lewis; Clark; 1805; Nez perce Historical Park,PG 13,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,13-00721,,black and white photograph,Image;StillImage,image/jpg,JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2011-03-16,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/509,509,510.jp2,/dworshak/image/510.jp2,dworshak509
Dworshak Dam Project 24 (Dam site),,Good shot of dam site long before construction started. Looking west.,1954,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);",Dworshak Dam Project; dam site; construction,PG 13,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,13-00722,,black and white photograph,Image;StillImage,image/jpg,JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2011-03-16,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/510,510,511.jp2,/dworshak/image/511.jp2,dworshak510
Dworshak Dam Project 25 (Valley),,Aerial view of the valley before any work started. Looking right at the mouth of the N. Fk. of the Clearwater River and Ahsahka.  Orofino in distance.,1965,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);",Dworshak Dam Project; aerial view; valley; mouth; North Fork; Clearwater River; Ahsahka; Orofino,PG 13,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,13-00723,,black and white photograph,Image;StillImage,image/jpg,JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2011-03-16,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/511,511,512.jp2,/dworshak/image/512.jp2,dworshak511
Dworshak Dam Project 26 (Aerial view of dam site),,Aerial view of dam site. Showing a little farm land - the Merry place just under the plane.,1955,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak Dam (Idaho);",Dworshak Dam Project; aerial view; dam site; farm; plane; Merry,PG 13,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,13-00724,,black and white photograph,Image;StillImage,image/jpg,JPEG displayed. Individual images saved as 800 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),46.513913,-116.297579,,,,2011-03-16,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/512,512,513.jp2,/dworshak/image/513.jp2,dworshak512
